energy_production,nbr_on,reserve_up,reserve down
158.99999999999997,3.0,54.0,69.0
167.0,3.0,62.0,77.0
152.00000000000003,3.0,47.0,62.0
148.0,3.0,43.0,58.0
158.0,3.0,53.0,68.0
112.0,2.0,37.0,52.0
149.0,3.0,44.0,59.0
162.00000000000003,3.0,57.0,72.0
206.0,4.0,71.0,86.0
262.0,5.0,97.0,112.0
236.0,4.0,91.0,106.0
326.0,5.0,118.0,133.0
401.0,6.0,140.0,155.0
423.0,6.0,147.0,162.0
519.0,7.0,176.0,189.0
441.0,7.0,152.0,167.0
343.0,6.0,123.0,138.0
253.0,5.0,88.0,103.0
259.0,5.0,94.0,109.0
224.0,4.0,87.0,102.0
219.0,4.0,84.0,99.0
205.0,4.0,70.0,85.0
204.0,4.0,69.0,84.0
206.0,4.0,71.0,86.0
111.00000000000003,2.0,36.0,50.99999999999999
107.00000000000001,2.0,32.0,47.0
104.0,2.0,29.0,44.0
100.0,2.0,25.0,40.0
98.0,2.0,23.0,38.0
97.0,2.0,22.0,37.0
99.0,2.0,24.0,39.0
100.0,2.0,25.0,40.0
117.0,2.0,38.0,53.0
159.0,3.0,44.0,59.0
181.0,3.0,47.0,62.0
227.0,3.0,54.0,69.0
297.0,4.0,65.0,80.0
374.0,5.0,76.0,91.0
434.0,6.0,85.0,100.0
393.0,5.0,79.0,94.0
269.0,4.0,60.0,75.0
158.0,3.0,44.0,59.0
146.0,3.0,41.0,56.0
198.0,3.0,50.0,65.0
147.0,3.0,42.0,57.0
165.0,3.0,45.0,60.0
148.0,3.0,42.0,57.0
109.0,2.0,34.0,49.0
147.00000000000003,3.0,42.0,57.0
114.00000000000001,2.0,39.0,53.99999999999999
107.00000000000001,2.0,32.0,47.0
104.0,2.0,29.0,44.0
111.00000000000003,2.0,36.0,50.99999999999999
145.00000000000003,3.0,40.0,55.0
185.0,3.0,57.0,72.0
223.0,3.0,65.0,80.0
318.0,5.0,84.0,99.0
361.0,5.0,92.0,107.0
379.0,5.0,96.0,111.0
431.0,6.0,106.0,121.0
450.0,6.0,110.0,125.0
487.0,7.0,117.0,132.0
576.0,8.0,135.0,150.0
531.0,7.0,126.0,141.0
460.0,6.0,112.0,127.0
391.0,5.0,98.0,113.0
347.0,5.0,89.0,104.0
360.0,5.0,92.0,107.0
273.0,4.0,75.0,90.0
262.0,4.0,72.0,87.0
250.0,4.0,70.0,85.0
223.0,3.0,65.0,80.0
176.0,3.0,38.0,53.0
164.0,2.0,36.0,50.99999999999999
111.0,2.0,31.0,46.0
136.0,2.0,34.0,49.0
104.00000000000001,2.0,29.0,44.0
109.0,2.0,31.0,46.0
187.0,3.0,39.0,53.99999999999999
311.0,4.0,51.0,66.0
350.0,5.0,55.0,70.0
368.0,5.0,57.0,72.0
453.0,6.0,65.0,80.0
488.0,6.0,69.0,84.0
530.0,7.0,73.0,88.0
613.0,7.0,81.0,96.0
618.0,7.0,82.0,97.0
573.0,7.0,77.0,92.0
565.0,7.0,77.0,92.0
464.0,6.0,66.0,81.0
484.0,6.0,68.0,83.0
441.0,6.0,64.0,79.0
361.0,5.0,56.0,71.0
306.0,4.0,51.0,66.0
367.0,5.0,57.0,72.0
253.0,3.0,45.0,60.0
211.0,3.0,31.0,46.0
187.0,3.0,29.0,44.0
188.0,3.0,29.0,44.0
127.0,2.0,26.0,41.0
162.0,2.0,28.0,43.0
194.0,3.0,30.0,45.0
244.0,3.0,32.0,47.0
340.0,4.0,37.0,52.0
377.0,5.0,39.0,54.0
468.0,6.0,43.0,58.0
446.0,6.0,42.0,57.0
518.0,6.0,46.0,61.0
572.0,7.0,49.0,64.0
647.0,7.0,53.0,68.0
646.0,7.0,54.0,69.0
647.0,7.0,53.0,68.0
619.0,7.0,51.0,66.0
493.0,6.0,45.0,60.0
517.0,6.0,46.0,61.0
474.0,6.0,44.0,59.0
375.0,5.0,39.0,54.0
341.0,4.0,37.0,52.0
352.0,4.0,38.0,53.0
330.0,4.0,37.0,52.0
216.0,4.0,81.0,96.0
225.0,4.0,88.0,103.0
202.0,4.0,67.0,82.0
209.0,4.0,74.0,89.0
168.99999999999997,3.0,64.0,78.99999999999999
210.0,4.0,75.0,90.0
235.0,4.0,91.0,106.0
350.0,6.0,125.0,140.0
391.0,6.0,137.0,152.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
438.0,6.0,162.0,162.0
421.0,6.0,146.0,161.0
363.0,6.0,129.0,144.0
358.0,6.0,127.0,142.0
287.0,5.0,106.0,121.0
251.0,4.0,55.0,70.0
226.0,3.0,52.0,67.0
182.0,3.0,45.0,60.0
166.0,3.0,43.0,58.0
184.0,3.0,46.0,61.0
202.0,3.0,48.0,63.0
275.0,4.0,59.0,74.0
360.0,5.0,70.0,85.0
409.0,5.0,77.0,92.0
464.0,6.0,85.0,100.0
510.0,7.0,91.0,106.0
595.0,7.0,105.0,120.0
593.0,7.0,107.0,122.0
582.0,7.0,118.0,133.0
576.0,7.0,124.0,139.0
583.0,7.0,116.99999999999999,131.99999999999997
592.0,7.0,108.0,123.0
542.0,7.0,96.0,111.0
541.0,7.0,96.0,111.0
450.0,6.0,83.0,98.0
422.0,6.0,79.0,94.0
366.0,5.0,71.0,86.0
389.0,5.0,74.0,89.0
317.0,4.0,64.0,79.0
