energy_production_base,nbr_on,reserve_primary_up_on_base,reserve_primary_up_off,reserve_primary_down_base,Fonction_objectif
6347.0,12.0,1218.0,0.0,1505.0000000000002,23155416.149500214
6262.0,12.0,1399.0,0.0,1728.0,23155416.149500214
6169.000000000001,12.0,1060.0,0.0,1310.0,23155416.149500214
6058.0,12.0,970.0,0.0,1198.0,23155416.149500214
5960.000000000001,12.0,1195.0,0.0,1476.0000000000002,23155416.149500214
5983.000000000001,12.0,834.0000000000001,0.0,1030.0000000000002,23155416.149500214
6023.0,12.0,992.0,0.0,1226.0,23155416.149500214
5995.0,12.0,1285.0,0.0,1588.0,23155416.149500214
5908.0,12.0,1600.9999999999998,0.0,1978.0,23155416.149500214
6002.0,12.0,2187.0,0.0,2702.0000000000005,23155416.149500214
5976.999999999999,12.0,2052.0,0.0,2535.0,23155416.149500214
6540.0,12.0,1715.9999999999993,0.0,3240.0,23155416.149500214
6540.0,12.0,1716.0000000000002,0.0,3240.0,23155416.149500214
6540.0,12.0,1715.9999999999995,0.0,3240.0,23155416.149500214
6540.0,12.0,1716.0000000000005,0.0,3240.0,23155416.149500214
6540.000000000001,12.0,1716.0,0.0,3240.0,23155416.149500214
6540.000000000001,12.0,1715.9999999999995,0.0,3240.0,23155416.149500214
6834.0,12.0,1422.0000000000011,0.0,2451.0,23155416.149500214
6698.0,12.0,1558.0000000000002,0.0,2619.0,23155416.149500214
6555.0,12.0,1700.9999999999995,0.0,2424.0,23155416.149500214
6463.0,12.0,1793.0000000000005,0.0,2340.0,23155416.149500214
6492.0,12.0,1579.0,0.0,1951.0,23155416.149500214
6598.0,12.0,1555.0,0.0,1921.0,23155416.149500214
6307.0,12.0,1600.9999999999998,0.0,1978.0,23155416.149500214
6470.0,12.0,812.0,0.0,1002.9999999999999,23155416.149500214
6388.0,12.0,721.0,0.0,890.9999999999999,23155416.149500214
6285.0,12.0,654.0,0.0,808.0,23155416.149500214
6162.0,12.0,563.0,0.0,695.9999999999999,23155416.149500214
6048.0,12.0,519.0,0.0,641.0,23155416.149500214
6022.999999999999,12.0,496.99999999999994,0.0,614.0,23155416.149500214
5988.0,12.0,541.0,0.0,668.0,23155416.149500214
5911.0,12.0,563.0,0.0,695.9999999999999,23155416.149500214
5833.0,12.0,857.0000000000001,0.0,1059.0000000000002,23155416.149500214
5820.0,12.0,992.0,0.0,1226.0,23155416.149500214
5869.0,12.0,1060.0,0.0,1310.0,23155416.149500214
5981.0,12.0,1218.0,0.0,1505.0,23155416.149500214
6147.0,12.0,1464.9999999999998,0.0,1810.0000000000002,23155416.149500214
6290.000000000001,12.0,1714.0,0.0,2118.0,23155416.149500214
6344.0,12.0,1912.0,3.999999999999986,2367.0,23155416.149500214
6426.0,12.0,1782.0,0.0,2202.0,23155416.149500214
6449.0,12.0,1353.0,0.0,1672.0,23155416.149500214
6359.0,12.0,992.0,0.0,1226.0,23155416.149500214
6237.0,12.0,924.0,0.0,1142.0,23155416.149500214
6107.000000000001,12.0,1128.0,0.0,1394.0,23155416.149500214
6026.000000000001,12.0,948.0000000000001,0.0,1171.0000000000002,23155416.149500214
6055.0,12.0,1014.0,0.0,1253.0,23155416.149500214
6190.0,12.0,948.0000000000001,0.0,1171.0000000000002,23155416.149500214
5947.0,12.0,767.0,0.0,948.0,23155416.149500214
6239.000000000001,12.0,948.0000000000001,0.0,1171.0000000000002,23155416.149500214
6205.0,12.0,880.0,0.0,1087.0,23155416.149500214
