fr_FR_CCGT*new,fr_FR_CCGT*new*DK6,fr_FR_DSR_implicite,fr_FR_DSR_industrie,fr_FR_DSR_tertiaire,fr_FR_Gas*CHP,fr_FR_Gas*pcomp*peak,fr_FR_Hard*coal*new,fr_FR_Light*oil,fr_FR_Nuclear_cp0_cp1_cp2,fr_FR_Nuclear_epr,fr_FR_Nuclear_n4,fr_FR_Nuclear_p4,fr_FR_Nuclear_peak1,fr_FR_Nuclear_peak2,fr_FR_OCGT*new,fr_FR_OCGT*old,fr_FR_VE_inj,fr_FR_Waste
12,2,0,68,0,10,0,3,8,0,0,0,10,0,0,0,0,0,21
12,2,0,67,0,10,0,3,8,0,0,0,10,0,0,0,0,0,21
12,2,0,67,0,10,0,3,8,0,0,0,10,0,0,0,0,0,21
12,2,0,67,0,10,0,3,8,0,0,0,9,0,0,0,0,0,21
12,2,0,66,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,66,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,66,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,66,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,66,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,66,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,66,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,65,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,64,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,64,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,64,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,64,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,64,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,63,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,63,0,10,0,3,8,0,0,0,7,0,0,0,0,0,21
12,2,0,63,0,10,0,3,8,0,0,0,9,0,0,0,0,0,21
12,2,0,63,0,10,0,0,8,0,0,0,9,0,0,0,0,0,21
12,2,0,63,0,10,0,0,8,0,0,0,9,0,0,0,0,0,21
12,2,0,63,0,10,0,0,8,0,0,0,9,0,0,0,0,0,21
12,2,0,63,0,10,0,0,8,0,0,0,9,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,9,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,9,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,9,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,9,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
12,2,0,69,0,10,0,0,9,0,0,0,7,0,0,0,0,0,21
