energy_generation,nb_on,p_max,ens_cost,p_min,dmin_up,dmin_down,cost,startup_cost,fixed_cost,primary_reserve_up_not_supplied_cost,primary_reserve_up_oversupplied_cost,primary_reserve_down_not_supplied_cost,primary_reserve_down_oversupplied_cost,secondary_reserve_up_not_supplied_cost,secondary_reserve_up_oversupplied_cost,secondary_reserve_down_not_supplied_cost,secondary_reserve_down_oversupplied_cost,tertiary1_reserve_up_not_supplied_cost,tertiary1_reserve_up_oversupplied_cost,tertiary1_reserve_down_not_supplied_cost,tertiary1_reserve_down_oversupplied_cost,tertiary2_reserve_up_not_supplied_cost,tertiary2_reserve_up_oversupplied_cost,tertiary2_reserve_down_not_supplied_cost,tertiary2_reserve_down_oversupplied_cost,generation_reserve_up_primary_off,generation_reserve_up_secondary_off,generation_reserve_up_tertiary2_off,participation_max_primary_reserve_up_off,participation_max_secondary_reserve_up_off,participation_max_tertiary2_reserve_up_off,cost_participation_primary_reserve_up_off,cost_participation_secondary_reserve_up_off,cost_participation_tertiary2_reserve_up_off,participation_max_primary_reserve_up_on,generation_reserve_up_primary_on,cost_participation_primary_reserve_up_on,participation_max_primary_reserve_down,generation_reserve_down_primary,cost_participation_primary_reserve_down,participation_max_tertiary1_reserve_up_on,generation_reserve_up_tertiary1_on,cost_participation_tertiary1_reserve_up_on,participation_max_tertiary1_reserve_down,generation_reserve_down_tertiary1,cost_participation_tertiary1_reserve_down,participation_max_tertiary1_reserve_up_off,generation_reserve_up_tertiary1_off,cost_participation_tertiary1_reserve_up_off,participation_max_secondary_reserve_up_on,generation_reserve_up_secondary_on,cost_participation_secondary_reserve_up_on,participation_max_secondary_reserve_down,generation_reserve_down_secondary,cost_participation_secondary_reserve_down,participation_max_tertiary2_reserve_up_on,generation_reserve_up_tertiary2_on,cost_participation_tertiary2_reserve_up_on,participation_max_tertiary2_reserve_down,generation_reserve_down_tertiary2,cost_participation_tertiary2_reserve_down,spillage_cost,min_generating,max_generating,nb_units_max_invisible,nb_units_max
2280.8535095246757,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,-5.684341886080802e-14,0.0,56.54,0.0,0.0,56.54,162.64710128547608,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.3600082392,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2280.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,0.0,0.0,56.54,0.0,0.0,56.54,162.6471012854763,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.3600082392,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2280.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,-2.842170943040401e-14,0.0,56.54,0.0,0.0,56.54,162.6471012854762,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.3600082392,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2280.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,-2.842170943040401e-14,0.0,56.54,0.0,0.0,56.54,162.6471012854763,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.3600082392,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2226.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,0.0,0.0,56.54,0.0,0.0,56.54,108.64710128547631,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.36000823919994,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2226.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,0.0,0.0,56.54,0.0,0.0,56.54,108.64710128547631,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.36000823919994,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2226.853509524676,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,0.0,0.0,56.54,0.0,0.0,56.54,108.6471012854762,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.36000823919994,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2226.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,0.0,0.0,56.54,0.0,0.0,56.54,108.64710128547631,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.36000823919994,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2559.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,0.0,0.0,56.54,415.22710096867615,0.0,56.54,441.6471012854762,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.3600082392,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2559.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,0.0,0.0,56.54,678.4800109859999,0.0,56.54,441.6471012854763,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.3600082392,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2559.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,8.72673998800002,0.0,22.92308,0.0,0.0,56.54,678.4800109859999,0.0,56.54,441.6471012854763,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.3600082392,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
2559.8535095246766,12.0,452.6,4000.0,145.7372,2,2,92.655,56122.4,0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,5000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92308,0.0,0.0,22.92308,0.0,0.0,56.54,678.4800109859999,0.0,56.54,441.6471012854762,0.0,0,0,0,30.78,369.3600082392,0.0,30.78,369.3600082392,0.0,0,0,0,0,0,0,0,0,4997.0,12.0,12.0
