energy_generation,nodu,generation_reserve_up_primary_on,generation_reserve_down_primary,generation_reserve_up_secondary_on,generation_reserve_down_secondary,generation_reserve_up_tertiary1_on,generation_reserve_down_tertiary1,generation_reserve_up_tertiary1_off
404.0,2.0,0.0,0.0,0.0,0.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,8.0,8.0,0.0,12.0,0,0,0
404.0,2.0,8.0,8.0,0.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,8.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,0.0,8.0,0.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,0.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,4.93903320950011,0.0,0,0,0
404.0,2.0,0.0,0.0,4.939033209500138,0.0,0,0,0
404.0,2.0,0.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,8.0,12.0,12.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
404.0,2.0,8.0,0.0,12.0,0.0,0,0,0
